Title;Authors;DOI;DOI link;Venue;Citation count;Year;Centrality of the Interoperability Problem;"Reasoning for ""Centrality of the Interoperability Problem""";Full-Text Accessibility;"Reasoning for ""Full-Text Accessibility""";Interlanguage collaboration;"Reasoning for ""Interlanguage collaboration""";Proof of Multilingual Systems;"Reasoning for ""Proof of Multilingual Systems""";Publication Language;"Reasoning for ""Publication Language""";Scientific field;"Reasoning for ""Scientific field""";Assessment Methods;"Reasoning for ""Assessment Methods""";Empirical Evidence;"Reasoning for ""Empirical Evidence""";Integration Scope;"Reasoning for ""Integration Scope""";Integration/Interoperability;"Reasoning for ""Integration/Interoperability""";Language Support;"Reasoning for ""Language Support""";Multilingual System Focus;"Reasoning for ""Multilingual System Focus""";Research Type;"Reasoning for ""Research Type""";Technical Solution;"Reasoning for ""Technical Solution""";Screening judgement;"Reasoning for ""Screening judgement""";Screening score;Reason code;Reason note
A semi-automated system for interoperability assessment: an ontology-based approach;Gabriel S. S. Leal, W. Guédria, H. Panetto;10.1080/17517575.2019.1678767;https://doi.org/10.1080/17517575.2019.1678767;Enterprise Information Systems;8;2019;no;While interoperability is central to the paper, it is focused on business interoperability rather than programming language interaction.;maybe;The full-text accessibility cannot be determined from the abstract alone.;no;The abstract focuses on business interoperability rather than programming language interaction.;no;There is no mention of specific software systems or programming languages in the abstract.;yes;The abstract is written in English.;maybe;While the paper appears to be from a technical field, it is not explicitly clear if it is from software engineering or programming languages specifically.;maybe;The paper does present assessment methods, but for business interoperability rather than programming language interoperability.;yes;"The abstract mentions a ""real business case"" for evaluation.";no;The paper appears to focus on business integration rather than software integration.;maybe;The paper examines interoperability, but in a business context rather than a software context.;no;The abstract does not explicitly mention multiple programming languages, and instead discusses interoperability in general business contexts.;no;There is no evidence of a focus on multilingual systems.;yes;The paper presents technical evidence and a knowledge-based system.;maybe;The paper presents a technical solution (knowledge-based system), but not for multilingual software integration.;Exclude;The abstract describes a knowledge-based system for business interoperability assessment, but lacks specific focus on multilingual programming systems or language interaction. While presenting a technical solution with empirical evidence, the paper does not meet key screening criteria related to programming language interoperability and multilingual software integration.;2.5;EC1;The abstract describes a knowledge-based system for business interoperability assessment, but lacks specific focus on multilingual programming systems or language interaction. While presenting a technical solution with empirical evidence, the paper does not me…
On the Impact of Interlanguage Dependencies in Multilanguage Systems Empirical Case Study on Java Native Interface Applications (JNI);Manel Grichi, Mouna Abidi, Fehmi Jaafar, Ellis E. Eghan, Bram Adams;10.1109/TR.2020.3024873;https://doi.org/10.1109/TR.2020.3024873;IEEE Transactions on Reliability;18;2021;yes;The main focus of the paper is on dependency analysis across multiple languages and its impact on software quality.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;yes;"The paper specifically focuses on ""interlanguage dependencies"" and their analysis.";yes;"The study explicitly analyzes ""ten open-source multilanguage systems.""";maybe;The paper is likely written in English, as the abstract is in English, though the full paper's language cannot be determined from the abstract alone.;maybe;The paper is likely published in a software engineering venue, based on the technical nature and empirical analysis presented.;yes;"The paper presents two specific approaches: ""static multilanguage dependency analyzer"" and ""historical multilanguage dependency analyzer.""";yes;The study includes empirical analysis of ten systems with specific quantitative results.;yes;The focus is on general programming language dependencies, not NLP.;yes;The study directly examines dependencies between different programming languages.;yes;"The study addresses systems supporting multiple programming languages, as the abstract explicitly discusses ""multiple programming languages"" and ""multilanguage systems.""";yes;The study explicitly focuses on multilanguage systems.;yes;The paper presents technical solutions and empirical evidence with specific metrics.;yes;The paper presents two specific technical approaches for dependency analysis.;Include;This research comprehensively addresses multilingual software systems by presenting empirical analysis of interlanguage dependencies across ten open-source systems, with a strong focus on technical solutions and quantitative assessment of software quality challenges. The study provides detailed insights into dependency analysis, demonstrating significant risks associated with interlanguage interactions and offering two distinct methodological approaches for understanding multilingual software integration.;4.9;IC;"Meets IC; no EC triggered."
Systems Interoperability Types: A Tertiary Study;R. S. P. Maciel, P. Valle, Kécia Souza Santana Santos, E. Nakagawa;10.1145/3659098;https://doi.org/10.1145/3659098;ACM Computing Surveys;9;2023;maybe;While interoperability is central to the paper, it is not specifically focused on programming language interaction challenges.;maybe;The full-text accessibility cannot be determined from the abstract alone.;maybe;The abstract does not specifically address programming language interaction, and instead discusses interoperability more broadly across different technologies and domains.;no;There is no explicit mention of specific multilingual software systems or programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, analyzing software-intensive systems.;maybe;The paper presents a tertiary study analyzing 37 secondary studies, but does not specifically mention metrics for multilingual interoperability.;maybe;The paper presents a systematic analysis of existing studies, but not specifically empirical evaluation of multilingual systems.;yes;The paper goes beyond NLP, discussing various domains including blockchain, IoT, and Industry 4.0.;maybe;The paper strongly focuses on interoperability, but at a broader technological and social-technical level rather than specifically for multilingual software.;maybe;The abstract does not explicitly discuss multiple programming languages, and instead focuses on general interoperability across different technologies and domains.;no;The paper does not specifically focus on multilingual software systems.;yes;The paper presents technical and systematic analysis, meeting this criterion.;maybe;While the paper discusses frameworks and solutions, they are not specifically for multilingual software integration.;Exclude;The abstract presents a comprehensive study on interoperability across technologies, but fails to meet specific criteria related to multilingual software systems and programming language interactions. While the research is technically rigorous and explores broad interoperability challenges, it does not focus on the targeted aspects of multilingual software integration and programming language collaboration. Consequently, the paper does not align sufficiently with the detailed screening requirements for multilingual software system research.;2.7;EC1;The abstract presents a comprehensive study on interoperability across technologies, but fails to meet specific criteria related to multilingual software systems and programming language interactions. While the research is technically rigorous and explores bro…
How Are Multilingual Systems Constructed: Characterizing Language Use and Selection in Open-Source Multilingual Software;Wen Li, Austin Marino, Haoran Yang, Na Meng, Li Li, Haipeng Cai;10.1145/3631967;https://doi.org/10.1145/3631967;ACM Transactions on Software Engineering and Methodology;6;2023;no;The paper focuses on characterizing language use patterns and selection rather than technical challenges of interoperability.;maybe;Cannot be determined from the abstract alone, but given it's a research paper on GitHub projects, it's likely accessible.;maybe;While the paper studies multilingual software systems, it focuses more on characterizing language use patterns rather than specifically addressing component interaction challenges.;yes;The study analyzes 7,113 GitHub projects and specifically mentions multilingual software systems.;yes;The abstract is in English.;yes;The paper appears to be a software engineering research study analyzing GitHub projects.;yes;The study uses association rule mining and statistical analysis to evaluate language use patterns.;yes;The study presents a large-scale empirical analysis of GitHub projects.;yes;The study examines general software development, not just NLP.;maybe;While the paper studies multilingual systems, it doesn't explicitly focus on integration challenges.;yes;The paper explicitly focuses on multilingual software systems and analyzes projects using multiple programming languages.;yes;The entire study focuses on multilingual software systems.;yes;The paper presents technical and empirical evidence through statistical analysis.;no;The paper appears to be primarily descriptive/analytical rather than presenting technical solutions.;Include;A comprehensive study of multilingual software systems analyzing 7,113 GitHub projects reveals significant insights into language use patterns across software development. While the research provides robust empirical evidence about programming language selection and usage, it falls short of directly addressing technical interoperability challenges or presenting specific integration solutions. The study offers valuable characterization of multilingual software development but does not fully explore the technical complexities of language interaction within software systems.;3.5;IC;"Meets IC; supported language."
Multilingual Source Code Analysis: A Systematic Literature Review;Zaigham Mushtaq, G. Rasool, Balawal Shehzad;10.1109/ACCESS.2017.2710421;https://doi.org/10.1109/ACCESS.2017.2710421;IEEE Access;32;2017;yes;The paper's main focus is on analyzing and understanding cross-language dependencies and interactions, indicating that the main subject is a technical or empirical challenge caused by the interaction between several programming languages within the same software system.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;yes;"The paper specifically addresses ""cross-language links"" and ""interdependent"" artifacts across multiple programming languages, indicating that it focuses on the interaction of components written in different programming languages within the same software system.";maybe;While the paper discusses multilingual systems, it doesn't explicitly name specific systems in the abstract.;yes;The abstract is written in English, meeting the publication language criterion.;yes;This is a systematic literature review in software engineering, analyzing 56 papers from software engineering domains, meeting the scientific field criterion.;yes;The paper discusses various techniques, tools, and methodologies for analyzing multilingual code, meeting the assessment methods criterion.;yes;As a systematic literature review, the paper analyzes empirical studies and presents findings from 56 papers, meeting the empirical evidence criterion.;yes;The paper covers multiple software engineering domains beyond NLP, including refactoring, reverse engineering, and security analysis, meeting the integration scope criterion.;yes;The paper explicitly addresses cross-language integration challenges, meeting the integration/interoperability criterion.;yes;"The paper explicitly focuses on ""cross-language artifacts"" and ""multilingual source code analysis"", indicating that it addresses systems supporting multiple languages rather than just a single language.";yes;The paper's primary focus is on multilingual software systems, meeting the multilingual system focus criterion.;yes;This is a systematic literature review presenting technical and empirical evidence, meeting the research type criterion.;yes;The paper discusses tools, techniques, and frameworks for analyzing multilingual applications, meeting the technical solution criterion.;Include;A systematic literature review comprehensively addressing multilingual software systems, covering cross-language artifacts, integration challenges, and technical solutions across multiple software engineering domains. The study synthesizes empirical evidence from 56 papers, examining techniques, tools, and methodologies for analyzing multilingual source code with a strong focus on interoperability and technical challenges. The research provides a robust framework for understanding and addressing complex interactions between programming languages within software systems.;4.9;IC;"Meets IC; supported language."
Enterprise interoperability assessment: a requirements engineering approach;Gabriel S. S. Leal, W. Guédria, H. Panetto;10.1080/0951192x.2020.1736636;https://doi.org/10.1080/0951192x.2020.1736636;International journal of computer integrated manufacturing (Print);8;2020;no;While interoperability is central to the paper, it's not specifically about programming language interaction.;maybe;Cannot be determined from the abstract alone.;no;The abstract doesn't mention programming languages or their interaction. It focuses on enterprise system interoperability requirements.;no;No mention of specific software systems or programming languages.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a software engineering or systems engineering domain, likely meeting this criterion.;maybe;The paper mentions using Requirements Engineering to identify and formalize interoperability requirements, partially meeting this criterion.;maybe;The abstract doesn't clearly indicate whether empirical evaluation is included.;yes;The paper appears to address general enterprise system integration, meeting this criterion.;no;The paper strongly focuses on interoperability, but not specifically in multilingual software contexts.;no;The abstract discusses interoperability in business ecosystems but does not specifically mention multiple programming languages. It appears to focus on enterprise system interoperability in general.;no;No evidence of focus on multilingual systems.;yes;The paper presents a technical approach using Requirements Engineering, meeting this criterion.;no;The paper presents a technical solution for analyzing interoperability requirements, but not specifically for multilingual software integration.;Exclude;The abstract focuses on enterprise system interoperability requirements using Requirements Engineering, but lacks specific evidence of multilingual programming language interaction. While the paper addresses technical interoperability challenges, it does not meet the screening criteria's focus on programming language integration and multilingual software systems. The research appears to be centered on business ecosystem collaboration rather than technical language interoperability.;2.5;EC1;The abstract focuses on enterprise system interoperability requirements using Requirements Engineering, but lacks specific evidence of multilingual programming language interaction. While the paper addresses technical interoperability challenges, it does not m…
Methodologies for multilingual information integration in the domain of Chinese art;Shu-jiun Chen, Ching-ju Cheng, Hsueh-hua Chen;10.1177/0340035211430797;https://doi.org/10.1177/0340035211430797;-;5;2011;no;The interoperability discussed is between natural languages (Chinese-English), not programming languages.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;no;The paper focuses on metadata and thesauri interoperability between natural languages (Chinese-English), not programming languages.;no;While the paper discusses multilingual systems, these are not programming language systems but rather metadata/thesaurus systems.;yes;The abstract is written in English, meeting the publication language requirement.;maybe;The abstract does not explicitly state the publication venue, so the scientific field is unclear.;maybe;"The paper mentions ""metadata quality"" and ""control vocabulary,"" but these are not specifically about programming language interoperability.";maybe;"The paper discusses ""methodologies"" and ""research projects,"" but it's unclear if it includes empirical evaluation.";no;The focus of the paper appears to be specifically on metadata and thesaurus integration, not software integration aspects beyond natural language processing.;no;The paper discusses integration and interoperability, but for natural language metadata, not programming languages.;yes;The paper explicitly addresses Chinese-English interoperability, indicating that it supports multiple languages.;yes;The paper focuses on multilingual systems, but for natural language handling, not programming languages.;yes;The paper presents technical methodologies and frameworks, meeting the research type requirement.;yes;The paper presents a methodological framework with four modules, meeting the technical solution requirement.;Exclude;The abstract describes a methodology for Chinese-English metadata interoperability, focusing on natural language translation and thesaurus integration rather than programming language interactions. Despite addressing multilingual systems, the research does not meet the screening criteria's requirements for programming language interoperability, technical software integration, or empirical assessment of multilingual software systems. Consequently, the paper falls outside the targeted research scope.;2.5;EC1;The abstract describes a methodology for Chinese-English metadata interoperability, focusing on natural language translation and thesaurus integration rather than programming language interactions. Despite addressing multilingual systems, the research does not…
Toward the Multilingual Semantic Web: Multilingual Ontology Matching and Assessment;Shimaa Ibrahim, S. Fathalla, Jens Lehmann, Hajira Jabeen;10.1109/ACCESS.2023.3238871;https://doi.org/10.1109/ACCESS.2023.3238871;IEEE Access;11;2023;no;The paper focuses on interoperability, but between natural language ontologies, not programming languages.;maybe;Cannot be determined from abstract alone, but mentions open-source implementation.;no;The paper does not address interaction between different programming languages. It focuses on natural language ontologies.;no;While it mentions implementation in Scala and Apache Spark, it's not about systems built with multiple programming languages.;yes;The abstract is in English.;maybe;While related to software engineering, it's more focused on semantic web and ontology matching.;no;The paper presents 14 metrics for evaluation, but these are for ontology matching, not programming language interoperability.;yes;The paper includes empirical evaluation through comparison with OAEI 2020.;no;The paper focuses specifically on natural language processing and ontology matching.;no;While it addresses interoperability, it's specifically for natural language ontologies, not programming languages.;no;The paper focuses on multilingual ontologies and cross-lingual matching, but this is about natural languages rather than programming languages.;no;While it handles multiple languages, these are natural languages, not programming languages.;yes;The paper presents technical and empirical evidence.;no;The paper presents a technical solution (MoMatch), but for natural language ontology matching, not programming language integration.;Exclude;The research focuses on multilingual ontology matching across natural languages, not programming language interoperability, which fundamentally misaligns with the screening criteria. Despite presenting a rigorous technical approach with empirical validation, the study does not address software systems built with multiple programming languages or their integration challenges. Consequently, the paper fails to meet the core requirements for multilingual software system research.;1.4;EC1;The research focuses on multilingual ontology matching across natural languages, not programming language interoperability, which fundamentally misaligns with the screening criteria. Despite presenting a rigorous technical approach with empirical validation, t…
Integration Technologies in Laboratory Information Systems: A Systematic Review;Jay Mark Edayan, Arthon Jon Gallemit, Niña Eunice Sacala, Xavier-Lewis Palmer, Lucas Potter, Junil Rarugal, Lemuel Clark Velasco;10.1016/j.imu.2024.101566;https://doi.org/10.1016/j.imu.2024.101566;Informatics in Medicine Unlocked;3;2024;maybe;While interoperability is central to the paper, it is about healthcare system integration rather than programming language interoperability.;maybe;The full-text accessibility cannot be determined from the abstract alone, but being a systematic review published in a medical context suggests likely accessibility.;no;The abstract does not discuss interaction between different programming languages. It focuses on system-to-system integration at a higher level.;no;There is no explicit mention of systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;maybe;While this is a systematic review, it is primarily focused on healthcare information systems rather than software engineering specifically.;maybe;The paper does present assessment methods, but for healthcare system integration rather than programming language interoperability.;yes;The paper includes empirical evaluation of 28 studies.;yes;The paper goes beyond NLP, focusing on healthcare system integration.;maybe;The paper heavily focuses on integration and interoperability, but at the system level rather than programming language level.;maybe;The abstract does not explicitly mention support for multiple programming languages. It focuses on system integration but not specifically language-level integration.;no;The focus is on healthcare systems rather than multilingual programming systems.;yes;This is a technical and empirical study.;maybe;While technical solutions are discussed, they are for healthcare system integration rather than programming language integration.;Exclude;The systematic review focuses on healthcare information system integration, lacking specific exploration of multilingual programming language interactions. Despite presenting robust empirical research on system interoperability, the study does not address programming language collaboration or multilingual software system challenges. Consequently, the paper does not meet the core screening criteria related to multilingual software engineering.;2.5;EC1;The systematic review focuses on healthcare information system integration, lacking specific exploration of multilingual programming language interactions. Despite presenting robust empirical research on system interoperability, the study does not address prog…
Semantic Interoperability Methods for Smart Service Systems: A Survey;Fabian Burzlaff, Nils Wilken, Christian Bartelt, H. Stuckenschmidt;10.1109/TEM.2019.2922103;https://doi.org/10.1109/TEM.2019.2922103;IEEE transactions on engineering management;20;2019;no;While the paper discusses integration challenges, these are not specifically related to programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The abstract does not mention interaction between different programming languages. It focuses on component composition in IoT systems.;no;No explicit mention of systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a software engineering field, focusing on software architecture and component-based engineering.;maybe;"The abstract mentions ""performance evaluation"" but not specifically for multilingual software interoperability.";yes;The paper is a systematic literature review that identifies 75 primary studies, suggesting some empirical content.;yes;The paper addresses integration beyond NLP, focusing on IoT systems and component composition.;maybe;The paper does address integration challenges, but not in the context of multilingual software.;no;The abstract does not explicitly mention support for multiple programming languages. It focuses on IoT systems and component composition in general.;no;No evidence of focus on multilingual systems or locales.;yes;The paper presents a systematic review with technical analysis, meeting this criterion.;no;While the paper discusses architectural approaches, these are not specifically for multilingual software integration.;Exclude;The systematic review focuses on IoT component composition and software architecture, but lacks specific evidence of multilingual programming language integration. Despite addressing integration challenges and presenting a comprehensive literature review, the study does not meet critical screening criteria related to multilingual software systems and programming language interoperability. Consequently, the paper does not align sufficiently with the required research focus.;2.5;EC1;The systematic review focuses on IoT component composition and software architecture, but lacks specific evidence of multilingual programming language integration. Despite addressing integration challenges and presenting a comprehensive literature review, the …
