Title,Authors,DOI,DOI link,Venue,Citation count,Year
A semi-automated system for interoperability assessment: an ontology-based approach,"Gabriel S. S. Leal, W. Guédria, H. Panetto",10.1080/17517575.2019.1678767,https://doi.org/10.1080/17517575.2019.1678767,Enterprise Information Systems,8,2019
On the Impact of Interlanguage Dependencies in Multilanguage Systems Empirical Case Study on Java Native Interface Applications (JNI),"Manel Grichi, Mouna Abidi, Fehmi Jaafar, Ellis E. Eghan, Bram Adams",10.1109/TR.2020.3024873,https://doi.org/10.1109/TR.2020.3024873,IEEE Transactions on Reliability,18,2021
Systems Interoperability Types: A Tertiary Study,"R. S. P. Maciel, P. Valle, Kécia Souza Santana Santos, E. Nakagawa",10.1145/3659098,https://doi.org/10.1145/3659098,ACM Computing Surveys,9,2023
How Are Multilingual Systems Constructed: Characterizing Language Use and Selection in Open-Source Multilingual Software,"Wen Li, Austin Marino, Haoran Yang, Na Meng, Li Li, Haipeng Cai",10.1145/3631967,https://doi.org/10.1145/3631967,ACM Transactions on Software Engineering and Methodology,6,2023
Multilingual Source Code Analysis: A Systematic Literature Review,"Zaigham Mushtaq, G. Rasool, Balawal Shehzad",10.1109/ACCESS.2017.2710421,https://doi.org/10.1109/ACCESS.2017.2710421,IEEE Access,32,2017
Enterprise interoperability assessment: a requirements engineering approach,"Gabriel S. S. Leal, W. Guédria, H. Panetto",10.1080/0951192x.2020.1736636,https://doi.org/10.1080/0951192x.2020.1736636,International journal of computer integrated manufacturing (Print),8,2020
Methodologies for multilingual information integration in the domain of Chinese art,"Shu-jiun Chen, Ching-ju Cheng, Hsueh-hua Chen",10.1177/0340035211430797,https://doi.org/10.1177/0340035211430797,-,5,2011
Toward the Multilingual Semantic Web: Multilingual Ontology Matching and Assessment,"Shimaa Ibrahim, S. Fathalla, Jens Lehmann, Hajira Jabeen",10.1109/ACCESS.2023.3238871,https://doi.org/10.1109/ACCESS.2023.3238871,IEEE Access,11,2023
Integration Technologies in Laboratory Information Systems: A Systematic Review,"Jay Mark Edayan, Arthon Jon Gallemit, Niña Eunice Sacala, Xavier-Lewis Palmer, Lucas Potter, Junil Rarugal, Lemuel Clark Velasco",10.1016/j.imu.2024.101566,https://doi.org/10.1016/j.imu.2024.101566,Informatics in Medicine Unlocked,3,2024
Semantic Interoperability Methods for Smart Service Systems: A Survey,"Fabian Burzlaff, Nils Wilken, Christian Bartelt, H. Stuckenschmidt",10.1109/TEM.2019.2922103,https://doi.org/10.1109/TEM.2019.2922103,IEEE transactions on engineering management,20,2019
Integrative Research: The EuroGEOSS Experience,"Lorenzino Vaccari, M. Craglia, C. Fugazza, S. Nativi, M. Santoro",10.1109/JSTARS.2012.2190382,https://doi.org/10.1109/JSTARS.2012.2190382,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,33,2012
Identifying criteria for multimodel software process improvement solutions – based on a review of current problems and initiatives,"Zádor Dániel Kelemen, R. Kusters, J. Trienekens",10.1002/smr.549,https://doi.org/10.1002/smr.549,J. Softw. Evol. Process.,15,2012
Multilingual Elite-interviews and Software-based Analysis,"R. Sinkovics, E. Penz",10.2501/IJMR-53-5-705-724,https://doi.org/10.2501/IJMR-53-5-705-724,-,23,2011
Health Care Organizations’ Interoperability during Multi-Organizational Disaster Management: A Scoping Review,"S. Gastaldi, M. Horlait",10.1017/S1049023X22000516,https://doi.org/10.1017/S1049023X22000516,Prehospital and Disaster Medicine,5,2022
Call for papers,"J. Lara, Romina Eramo",10.1080/16078055.2019.1601371,https://doi.org/10.1080/16078055.2019.1601371,World Leisure Journal,0,2019
Data interoperability software solution for emergency reaction in the Europe Union,"Ruben Casado, E. Rubiera, M. Sacristán, F. Schütte, R. Peters",10.5194/NHESS-15-1563-2015,https://doi.org/10.5194/NHESS-15-1563-2015,-,18,2014
Measuring Multiple Text Integration: A Review,"Liron Primor, T. Katzir",10.3389/fpsyg.2018.02294,https://doi.org/10.3389/fpsyg.2018.02294,Frontiers in Psychology,39,2018
Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies,"I. Malavolta, H. Muccini, Patrizio Pelliccione, D. Tamburri",10.1109/TSE.2009.51,https://doi.org/10.1109/TSE.2009.51,IEEE Transactions on Software Engineering,107,2010
Interoperability of heterogeneous health information systems: a systematic literature review,"Amir Torab-Miandoab, Taha Samad-Soltani, A. Jodati, Peyman Rezaei-Hachesu",10.1186/s12911-023-02115-5,https://doi.org/10.1186/s12911-023-02115-5,BMC Medical Informatics and Decision Making,139,2023
Semantics for interoperability of distributed data and models: Foundations for better-connected information,"F. Villa, S. Balbi, I. Athanasiadis, Caterina Caracciolo",10.12688/F1000RESEARCH.11638.1,https://doi.org/10.12688/F1000RESEARCH.11638.1,F1000Research,29,2017
Component Content Management and Quality of Information Products for Global Audiences: An Integrative Literature Review,T. Batova,10.1109/TPC.2014.2373911,https://doi.org/10.1109/TPC.2014.2373911,IEEE Transactions on Professional Communication,10,2014
Linguistic and ontological challenges of multiple domains contributing to transformed health ecosystems,"Markus Kreuzthaler, M. Brochhausen, C. Zayas, B. Blobel, S. Schulz",10.3389/fmed.2023.1073313,https://doi.org/10.3389/fmed.2023.1073313,Frontiers in Medicine,6,2023
A Multilingual Integrated Framework for Processing Lexical Collocations,Violeta Seretan,10.1007/978-3-642-34399-5_5,https://doi.org/10.1007/978-3-642-34399-5_5,Computational Linguistics,6,2013
Towards a Question Answering System over the Semantic Web,"Dennis Diefenbach, A. Both, K. Singh, P. Maret",10.3233/SW-190343,https://doi.org/10.3233/SW-190343,Semantic Web,108,2018
Globalizing Modeling Languages,"B. Combemale, Julien Deantoni, B. Baudry, R. France, J. Jézéquel, Jeffrey G. Gray",10.1109/MC.2014.147,https://doi.org/10.1109/MC.2014.147,Computer,81,2014
Conceptualising integration in CLIL and multilingual education,Darío Luis Banegas,10.1080/13670050.2017.1416753,https://doi.org/10.1080/13670050.2017.1416753,-,86,2017
Google’s Multilingual Neural Machine Translation System: Enabling Zero-Shot Translation,"Melvin Johnson, M. Schuster, Quoc V. Le, M. Krikun, Yonghui Wu, Z. Chen, Nikhil Thorat, F. Viégas, M. Wattenberg, Gregory S. Corrado, Macduff Hughes, Jeffrey Dean",10.1162/tacl_a_00065,https://doi.org/10.1162/tacl_a_00065,Transactions of the Association for Computational Linguistics,2100,2016
InteSe: An Integrated Model for Resolving Ambiguities in Multimodal Sentences,"Maria Chiara Caschera, F. Ferri, P. Grifoni",10.1109/TSMCA.2012.2210407,https://doi.org/10.1109/TSMCA.2012.2210407,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",20,2013
"Afterword: SFL, theoretical pluralism and content and language integration at the levels of curriculum, pedagogy and assessment",T. Morton,10.1080/13670050.2020.1806781,https://doi.org/10.1080/13670050.2020.1806781,International Journal of Bilingual Education and Bilingualism,10,2020
Multilingual Sentiment Analysis: State of the Art and Independent Comparison of Techniques,"K. Dashtipour, Soujanya Poria, A. Hussain, E. Cambria, Ahmad Y. A. Hawalah, Alexander Gelbukh, Qiang Zhou",10.1007/s12559-016-9415-7,https://doi.org/10.1007/s12559-016-9415-7,Cognitive Computation,240,2016
"Navigating Multi-Language Assessments: Best Practices for Test Development, Linking, and Evaluation.","L.H.L. Badham, María Elena Oliveri, Stephan G. Sireci",10.70478/psicothema.2025.37.19,https://doi.org/10.70478/psicothema.2025.37.19,Psicothema,1,2025
Management Systems in Aviation: Challenges and Opportunities to Upgrade to an Integrated Management System,"Joeri Meeûs, W. Dewulf, R. Macário",10.3390/su151310424,https://doi.org/10.3390/su151310424,Sustainability,2,2023
Four integration patterns: a socio‐technical approach to integration in IS development projects,"B. Bygstad, P. Nielsen, B. Munkvold",10.1111/j.1365-2575.2007.00280.x,https://doi.org/10.1111/j.1365-2575.2007.00280.x,Information Systems Journal,58,2010
An empirical study of IS architectures in French SMEs: integration approaches,"Marc Bidan, F. Rowe, D. Truex",10.1057/ejis.2012.12,https://doi.org/10.1057/ejis.2012.12,European Journal of Information Systems,73,2012
Instance-based Semantic Interoperability in the Cultural Heritage,"Shenghui Wang, Antoine Isaac, Stefan Schlobach, L. V. D. Meij, Balthasar A. C. Schopman",10.3233/SW-2012-0045,https://doi.org/10.3233/SW-2012-0045,Semantic Web,13,2012
The Complexities of Globalized Content Management,"T. Batova, D. Clark",10.1177/1050651914562472,https://doi.org/10.1177/1050651914562472,-,18,2015
A semantic interoperability approach to support integration of gene expression and clinical data in breast cancer,"R. Alonso-Calvo, S. Paraíso-Medina, D. Pérez-Rey, Enrique Alonso-Oset, R. V. Stiphout, Sheng Yu, Marian Taylor, F. Buffa, C. Fernandez-Lozano, A. Pazos, V. Maojo",10.1016/j.compbiomed.2017.06.005,https://doi.org/10.1016/j.compbiomed.2017.06.005,Comput. Biol. Medicine,15,2017
