Title,Authors,DOI,DOI link,Venue,RQ,Screening score first auditor,Screening score second auditor,Screening judgement first auditor,Screening judgement second auditor
BabelRTS: Polyglot Regression Test Selection,"Gabriele Maurina, Walter Cazzola, Sudipto Ghosh",10.1109/TSE.2025.3554403,https://doi.org/10.1109/TSE.2025.3554403,IEEE Transactions on Software Engineering,1,"4,9","4,9",Include,Include
On the Impact of Interlanguage Dependencies in Multilanguage Systems Empirical Case Study on Java Native Interface Applications (JNI),"Manel Grichi, Mouna Abidi, Fehmi Jaafar, Ellis E. Eghan, Bram Adams",10.1109/TR.2020.3024873,https://doi.org/10.1109/TR.2020.3024873,IEEE Transactions on Reliability,1,"4,9","4,9",Include,Include
How Are Multilingual Systems Constructed: Characterizing Language Use and Selection in Open-Source Multilingual Software,"Wen Li, Austin Marino, Haoran Yang, Na Meng, Li Li, Haipeng Cai",10.1145/3631967,https://doi.org/10.1145/3631967,ACM Transactions on Software Engineering and Methodology,1,"3,5","3,5",Include,Include
Multilingual Source Code Analysis: A Systematic Literature Review,"Zaigham Mushtaq, G. Rasool, Balawal Shehzad",10.1109/ACCESS.2017.2710421,https://doi.org/10.1109/ACCESS.2017.2710421,IEEE Access,1,"4,9","4,8",Include,Include
"Multi-Language Software Development: Issues, Challenges, and Solutions","Haoran Yang, Yu Nong, Shaowei Wang, Haipeng Cai",10.1109/TSE.2024.3358258,https://doi.org/10.1109/TSE.2024.3358258,IEEE Transactions on Software Engineering,1,"4,6","4,6",Include,Include
Language-Independent and Automated Software Composition: The FeatureHouse Experience,"S. Apel, Christian Kästner, C. Lengauer",10.1109/TSE.2011.120,https://doi.org/10.1109/TSE.2011.120,IEEE Transactions on Software Engineering,1,"4,9","4,7",Include,Include
"Translation, Abstraction and Integration for Effective Smart System Design","M. Lora, S. Vinco, F. Fummi",10.1109/TC.2019.2909209,https://doi.org/10.1109/TC.2019.2909209,IEEE transactions on computers,1,"3,5","3,2",Include,Exclude
The Challenge of Cross-language Interoperability,D. Chisnall,10.1145/2542661.2543971,https://doi.org/10.1145/2542661.2543971,Queue,1,4,"4,2",Include,Include
Advancing Static Code Analysis With Language-Agnostic Component Identification,"Micah Schiewe, Jacob Curtis, Vincent Bushong, T. Cerný",10.1109/ACCESS.2022.3160485,https://doi.org/10.1109/ACCESS.2022.3160485,IEEE Access,1,"4,3","4,3",Include,Include
USING UML MODELS TO MEASURE SOFTWARE PRODUCT LINES MANUTENABILITY,"Felipe Nunes Gaia, Diego Fernandes da Silva",10.5748/9788599693124-13CONTECSI/RF-4203,https://doi.org/10.5748/9788599693124-13CONTECSI/RF-4203,-,2,"4,7","4,7",Include,Include
Types for Multi-Paradigm Modelling,"J. Lara, H. Vangheluwe",-,-,-,2,"4,6","4,3",Include,Include
What Petri Nets Oblige us to Say Comparing Approaches for Behavior Composition,"Achiya Elyasaf, Tom Yaacov, Gera Weiss",10.1109/TSE.2022.3216683,https://doi.org/10.1109/TSE.2022.3216683,IEEE Transactions on Software Engineering,2,"4,9","4,9",Include,Include
Reasoning and modeling paradigms are incompatible,P. Wegner,10.1109/HICSS.1993.284118,https://doi.org/10.1109/HICSS.1993.284118,[1993] Proceedings of the Twenty-sixth Hawaii International Conference on System Sciences,2,"4,6","4,6",Include,Include
"Composability, compatibility, compositionality: automatic preservation of timed properties during incremental development","J. Julliand, H. Mountassir, Emilie Oudot",-,-,-,2,"4,6","4,6",Include,Include
Programming Paradigms as Object Classes: A Structuring Mechanism for Multiparadigm Programming,D. Spinellis,-,-,-,2,"4,6","4,6",Include,Include
Improving domain representation with multi-paradigm modeling,"A. Leitner, R. Weiss, Christian Kreiner, W. Ebner",10.1145/2364412.2364446,https://doi.org/10.1145/2364412.2364446,Software Product Lines Conference,2,"4,6","4,8",Include,Include
Towards the systematic measurement of ATL transformation models,"José Barranquero Tolosa, Oscar Sanjuán Martínez, Vicente García Díaz, B. C. P. García-Bustelo, J. M. C. Lovelle",10.1002/spe.1033,https://doi.org/10.1002/spe.1033,"Software, Practice & Experience",2,"4,6","4,8",Include,Include
An Integrative Framework to Protocol Analysis and Repair: Bellare-Rogaway Model + Planning + Model Checker,Kim-Kwang Raymond Choo,10.15388/INFORMATICA.2007.193,https://doi.org/10.15388/INFORMATICA.2007.193,Informatica,2,"4,6","4,8",Include,Include
