RandomID,Title,DOI link,Year,Venue,Full-Text Accessibility,Publication Language,Multiple Paradigms,Paradigmatic Compatibility Focus,Quantitative Components,Empirical Evidence,Validation Methods,Study Type
R391482,"Integrating the Physical and Link Layers in Modeling the Wireless Ad Hoc Networking MAC Protocol , Synchronous Collision Resolution",-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
R521508,Paradigm Translations in Integrating Manufacturing Information Using a Meta-model : The TSER Approach,-,1993,-,NA,NA,NA,NA,NA,NA,NA,NA
R238550,An Integrative Bargaining Paradigm for Investigating Multidisciplinary Design Tradeoffs,https://doi.org/10.1177/154193129403801608,1994,-,NA,NA,NA,NA,NA,NA,NA,NA
R106093,Goal-Driven Definition of Product Metrics Based on Properties,-,1995,-,NA,NA,NA,NA,NA,NA,NA,NA
R743621,Integrated formal methods with richer methodological profiles for the development of multi-perspective systems,-,1996,-,NA,NA,NA,NA,NA,NA,NA,NA
R248034,Knowledge Transfer Between Languages and Paradigms,-,2000,-,NA,NA,NA,NA,NA,NA,NA,NA
R507826,Integration of maintenance in the enterprise: Towards an enterprise modelling-based framework compliant with proactive maintenance strategy,https://doi.org/10.1080/09537280150501275,2001,-,NA,NA,NA,NA,NA,NA,NA,NA
R142296,An introduction to multi-paradigm modelling and simulation.,-,2002,-,NA,NA,NA,NA,NA,NA,NA,NA
R426929,Model-Solver Integration in Decision Support Systems : A Web Services Approach,-,2003,-,NA,NA,NA,NA,NA,NA,NA,NA
R326554,"Modélisation des processus ""métier"" mis en oeuvre dans une approche EAI en vue de leur pilotage : le pilotage des applications intégrées",-,2004,-,NA,NA,NA,NA,NA,NA,NA,NA
R102662,Component Model Interoperability for Scientific Computing,-,2006,-,NA,NA,NA,NA,NA,NA,NA,NA
R340098,Integrating a Declarative with an Imperative Model Transformation Language,-,2006,-,NA,NA,NA,NA,NA,NA,NA,NA
R250883,"Integration of Software Packages with Different Programming Paradigms , Exemplified by a Ship Model Generating Tool",-,2007,-,NA,NA,NA,NA,NA,NA,NA,NA
R343445,An overview on protocol adaptors for service component integration,-,2008,-,NA,NA,NA,NA,NA,NA,NA,NA
R74743,Current Issues in Multi-Paradigm Modeling,-,2008,-,NA,NA,NA,NA,NA,NA,NA,NA
R359098,"4th International Workshop on Model Driven Engineering, Verification, and Validation: Integrating Verification and Validation in MDE",https://doi.org/10.1007/978-3-540-69073-3_16,2008,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,NA,NA,NA,NA,NA,NA,NA,NA
R636968,Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) A practical approach to multi-modeling views composition,-,2009,-,NA,NA,NA,NA,NA,NA,NA,NA
R286753,Question-learn-test-feedback pattern to test emerging software construction paradigms,-,2010,-,NA,NA,NA,NA,NA,NA,NA,NA
R00103,Electronic Communications of the EASST Volume X ( 2010 ) Proceedings of the 4 th International Workshop on Multi-Paradigm Modeling ( MPM 2010 ) A generic in-place transformation-based approach to structured model co-evolution,-,2010,-,NA,NA,NA,NA,NA,NA,NA,NA
R206957,"A Novel Class, Object and Inheritance based Coupling Measure (COICM) to Find Better OOP Paradigm using JAVA",-,2011,-,NA,NA,NA,NA,NA,NA,NA,NA
R632137,An Experimental Usability Evaluation Framework for Model-Driven Tools,-,2011,-,NA,NA,NA,NA,NA,NA,NA,NA
R823372,Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Reusing Model Transformations across Heterogeneous Metamodels,-,2012,-,NA,NA,NA,NA,NA,NA,NA,NA
R202505,Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Semantic Adaptation using CCSL Clock Constraints,-,2012,-,NA,NA,NA,NA,NA,NA,NA,NA
R675363,On the Convergence of Experimental Methodologies for Distributed Systems: Where do we stand?,-,2013,-,NA,NA,NA,NA,NA,NA,NA,NA
R786448,Automatic Generation of Trace Links in Model-driven Software Development,-,2013,-,NA,NA,NA,NA,NA,NA,NA,NA
R323292,Integrando metodologias na análise de dados sob o paradigma interacionista simbólico: um caso prático,https://doi.org/10.1590/1679-39519359,2014,-,NA,NA,NA,NA,NA,NA,NA,NA
R506862,"ModHel'X, un outil expérimental pour la modélisation multi-paradigmes",-,2014,-,NA,NA,NA,NA,NA,NA,NA,NA
R295900,Integration Testing Prior to Unit Testing: A Paradigm Shift in Object Oriented Software Testing of Agile Software Engineering,https://doi.org/10.17485/IJST/2016/V9I20/91223,2016,-,NA,NA,NA,NA,NA,NA,NA,NA
R368258,"Model-based, client-side integration of heterogeneous data from REST services",-,2018,-,NA,NA,NA,NA,NA,NA,NA,NA
R79768,Object-Driven Narrative in AR: A Scenario-Metaphor Framework with VLM Integration,https://doi.org/10.48550/arXiv.2504.13119,2025,arXiv.org,NA,NA,NA,NA,NA,NA,NA,NA
