Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language
A semi-automated system for interoperability assessment: an ontology-based approach,2019,Enterprise Information Systems,https://doi.org/10.1080/17517575.2019.1678767,Exclude,EC1,"The abstract describes a knowledge-based system for business interoperability assessment, but lacks specific focus on multilingual programming systems or language interaction. While presenting a technical solution with empirical evidence, the paper does not me…",maybe,yes
Systems Interoperability Types: A Tertiary Study,2023,ACM Computing Surveys,https://doi.org/10.1145/3659098,Exclude,EC1,"The abstract presents a comprehensive study on interoperability across technologies, but fails to meet specific criteria related to multilingual software systems and programming language interactions. While the research is technically rigorous and explores bro…",maybe,yes
Enterprise interoperability assessment: a requirements engineering approach,2020,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192x.2020.1736636,Exclude,EC1,"The abstract focuses on enterprise system interoperability requirements using Requirements Engineering, but lacks specific evidence of multilingual programming language interaction. While the paper addresses technical interoperability challenges, it does not m…",maybe,yes
Methodologies for multilingual information integration in the domain of Chinese art,2011,-,https://doi.org/10.1177/0340035211430797,Exclude,EC1,"The abstract describes a methodology for Chinese-English metadata interoperability, focusing on natural language translation and thesaurus integration rather than programming language interactions. Despite addressing multilingual systems, the research does not…",maybe,yes
Toward the Multilingual Semantic Web: Multilingual Ontology Matching and Assessment,2023,IEEE Access,https://doi.org/10.1109/ACCESS.2023.3238871,Exclude,EC1,"The research focuses on multilingual ontology matching across natural languages, not programming language interoperability, which fundamentally misaligns with the screening criteria. Despite presenting a rigorous technical approach with empirical validation, t…",maybe,yes
Integration Technologies in Laboratory Information Systems: A Systematic Review,2024,Informatics in Medicine Unlocked,https://doi.org/10.1016/j.imu.2024.101566,Exclude,EC1,"The systematic review focuses on healthcare information system integration, lacking specific exploration of multilingual programming language interactions. Despite presenting robust empirical research on system interoperability, the study does not address prog…",maybe,yes
Semantic Interoperability Methods for Smart Service Systems: A Survey,2019,IEEE transactions on engineering management,https://doi.org/10.1109/TEM.2019.2922103,Exclude,EC1,"The systematic review focuses on IoT component composition and software architecture, but lacks specific evidence of multilingual programming language integration. Despite addressing integration challenges and presenting a comprehensive literature review, the …",maybe,yes
Integrative Research: The EuroGEOSS Experience,2012,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://doi.org/10.1109/JSTARS.2012.2190382,Exclude,EC1,"The abstract discusses system integration and interoperability in spatial data infrastructures, but does not specifically address multilingual programming language interactions. While the paper presents technical solutions for system integration, it fails to m…",maybe,yes
Identifying criteria for multimodel software process improvement solutions – based on a review of current problems and initiatives,2012,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.549,Exclude,EC1,"The abstract focuses on software process improvement and quality approaches, not programming language interoperability, fundamentally misaligning with the systematic review's core criteria. Despite being in English and from a software engineering context, the …",maybe,yes
Health Care Organizations’ Interoperability during Multi-Organizational Disaster Management: A Scoping Review,2022,Prehospital and Disaster Medicine,https://doi.org/10.1017/S1049023X22000516,Exclude,EC1,"The research paper focuses on disaster management and healthcare system interoperability, fundamentally diverging from the screening criteria's emphasis on multilingual software systems and programming language interactions. Despite being a rigorous scientific…",maybe,yes
Data interoperability software solution for emergency reaction in the Europe Union,2014,-,https://doi.org/10.5194/NHESS-15-1563-2015,Exclude,EC1,"The research addresses multilingual and cross-border emergency management systems with a focus on semantic and data interoperability, but does not specifically examine programming language interactions. While the study presents technical solutions and empirica…",maybe,yes
Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies,2010,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2009.51,Exclude,EC1,"The research focuses on architectural modeling language interoperability rather than programming language integration, failing to meet most screening criteria related to multilingual software systems. While technically rigorous and presenting a novel framework…",maybe,yes
Interoperability of heterogeneous health information systems: a systematic literature review,2023,BMC Medical Informatics and Decision Making,https://doi.org/10.1186/s12911-023-02115-5,Exclude,EC1,"The systematic review focuses on health information system interoperability, which fundamentally differs from the screening criteria's emphasis on programming language integration. Despite being a rigorous technical study, the paper lacks specific elements rel…",yes,yes
Semantics for interoperability of distributed data and models: Foundations for better-connected information,2017,F1000Research,https://doi.org/10.12688/F1000RESEARCH.11638.1,Exclude,EC1,"The abstract focuses on semantic interoperability of data and models, but does not address programming language interaction or multilingual software systems. While technically rigorous, the paper fails to meet key screening criteria related to programming lang…",maybe,yes
Component Content Management and Quality of Information Products for Global Audiences: An Integrative Literature Review,2014,IEEE Transactions on Professional Communication,https://doi.org/10.1109/TPC.2014.2373911,Exclude,EC1,"The research paper focuses on content management and translation in technical communication, fundamentally diverging from software engineering and programming language interoperability requirements. Despite addressing multilingual aspects, the study lacks crit…",maybe,yes
Linguistic and ontological challenges of multiple domains contributing to transformed health ecosystems,2023,Frontiers in Medicine,https://doi.org/10.3389/fmed.2023.1073313,Exclude,EC1,"The abstract focuses on healthcare data integration and natural language processing, fundamentally misaligning with the screening criteria's emphasis on programming language interoperability. Despite addressing integration challenges, the paper lacks specific …",maybe,yes
A Multilingual Integrated Framework for Processing Lexical Collocations,2013,Computational Linguistics,https://doi.org/10.1007/978-3-642-34399-5_5,Exclude,EC1,"The research paper focuses on natural language processing and lexical collocations, which fundamentally differs from the screening criteria's emphasis on programming language interoperability. Despite presenting a multilingual framework with empirical evidence…",maybe,yes
Towards a Question Answering System over the Semantic Web,2018,Semantic Web,https://doi.org/10.3233/SW-190343,Exclude,EC1,"The research addresses multilingual support across natural languages and knowledge bases, but does not focus on programming language interoperability. While demonstrating technical innovation in question answering systems, the study falls short of the systemat…",maybe,yes
Globalizing Modeling Languages,2014,Computer,https://doi.org/10.1109/MC.2014.147,Exclude,EC4,-,no,yes
Google’s Multilingual Neural Machine Translation System: Enabling Zero-Shot Translation,2016,Transactions of the Association for Computational Linguistics,https://doi.org/10.1162/tacl_a_00065,Exclude,EC1,"The paper addresses multilingual machine translation between natural languages, not programming language interoperability, which fundamentally misaligns with the screening criteria. Despite presenting a technically sophisticated solution with empirical evidenc…",maybe,yes
InteSe: An Integrated Model for Resolving Ambiguities in Multimodal Sentences,2013,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",https://doi.org/10.1109/TSMCA.2012.2210407,Exclude,EC1,"The research focuses on multimodal interaction and ambiguity resolution in natural language processing, which diverges significantly from the screening criteria's emphasis on programming language interoperability. Despite presenting a technical solution with e…",maybe,yes
Management Systems in Aviation: Challenges and Opportunities to Upgrade to an Integrated Management System,2023,Sustainability,https://doi.org/10.3390/su151310424,Exclude,EC1,"The research paper focuses on aviation management system integration, fundamentally diverging from the screening criteria's emphasis on multilingual software systems and programming language interoperability. Despite presenting empirical research with surveys,…",maybe,yes
Four integration patterns: a socio‐technical approach to integration in IS development projects,2010,Information Systems Journal,https://doi.org/10.1111/j.1365-2575.2007.00280.x,Exclude,EC1,"The research paper focuses on general system integration patterns in information systems project management, fundamentally diverging from the systematic review's specific interest in multilingual programming language integration. Despite meeting some general s…",maybe,yes
An empirical study of IS architectures in French SMEs: integration approaches,2012,European Journal of Information Systems,https://doi.org/10.1057/ejis.2012.12,Exclude,EC1,"The study presents a comprehensive empirical analysis of information system architectures in SMEs, focusing on integration and interoperability strategies. However, the research does not specifically address multilingual programming language systems or their t…",maybe,yes
Instance-based Semantic Interoperability in the Cultural Heritage,2012,Semantic Web,https://doi.org/10.3233/SW-2012-0045,Exclude,EC4,Cannot be determined from abstract alone.,no,yes
The Complexities of Globalized Content Management,2015,-,https://doi.org/10.1177/1050651914562472,Exclude,EC1,"The abstract describes a technical communication study about content management challenges in multilingual projects, focusing on translation and localization practices. Despite addressing multilingual contexts, the paper does not meet the screening criteria re…",maybe,yes
A semantic interoperability approach to support integration of gene expression and clinical data in breast cancer,2017,Comput. Biol. Medicine,https://doi.org/10.1016/j.compbiomed.2017.06.005,Exclude,EC1,"The research paper focuses on clinical data integration and semantic interoperability in healthcare, which fundamentally differs from the systematic review's criteria of programming language interaction and multilingual software systems. Despite being a techni…",maybe,yes
Inter-operability and reusability: the science of annotation,2011,Language Resources and Evaluation,https://doi.org/10.1007/s10579-011-9164-x,Exclude,EC1,"The abstract focuses on linguistic data annotation for NLP applications, which fundamentally differs from the screening criteria's emphasis on multilingual software systems and programming language interoperability. Despite being in English, the paper fails to…",maybe,yes
Development of an interoperable tool to facilitate spatial data integration in the context of SDI,2010,International Journal of Geographical Information Science,https://doi.org/10.1080/13658810902881903,Exclude,EC1,"The research paper focuses on spatial data integration and interoperability, fundamentally addressing data harmonization challenges rather than multilingual software systems or programming language interactions. Despite presenting a technical solution with ass…",maybe,yes
Multi-view approaches for software and system modelling: a systematic literature review,2019,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-018-00713-w,Exclude,EC1,"The systematic literature review focuses on multi-view software modeling, which fundamentally differs from multilingual programming language integration. Despite being a rigorous software engineering study, the paper does not address key criteria related to pr…",maybe,yes
TAC2011 MultiLing Pilot Overview,2011,Text Analysis Conference,-,Exclude,EC1,"The study focuses on multilingual text summarization across seven languages, presenting empirical research in natural language processing rather than programming language interoperability. Despite addressing multiple languages and providing technical evaluatio…",maybe,yes
