Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language,Multiple Paradigms,Paradigmatic Compatibility Focus
Paradigm Translations in Integrating Manufacturing Information Using a Meta-model : The TSER Approach,1993,-,-,Exclude,EC1,"A meta-model framework exploring paradigmatic integration across Entity-Relationship, Relational, and Object-Oriented models demonstrates strong potential for addressing multiple programming paradigms. While the study presents a conceptual approach to informat…",maybe,yes,yes,yes
Model fragment comparison using natural language processing techniques,2014,-,https://doi.org/10.1007/978-3-642-54411-8_20,Exclude,EC6,The abstract does not mention any quantitative components or measurements.,maybe,yes,yes,maybe
Modeling the Semantics of Geographic Categories through Conceptual Integration,2002,International Conference Geographic Information Science,https://doi.org/10.1007/3-540-45799-2_8,Exclude,EC2,"The paper appears to be primary research, but it focuses on conceptual integration in cognitive science and geographic categories, not paradigmatic compatibility in programming. It does not meet this criterion.",maybe,yes,no,no
System models effect on test integration cost,2011,2011 IEEE AUTOTESTCON,https://doi.org/10.1109/AUTEST.2011.6058775,Exclude,EC1,"The abstract addresses test program integration and platform independence, demonstrating partial alignment with paradigmatic compatibility criteria. While the study explores system models and integration challenges, it lacks clear empirical validation, quantit…",maybe,yes,maybe,yes
Integration of Semantic Tools into Document Editors,1994,Softw. Concepts Tools,-,Exclude,EC1,"While the paper discusses ""three possible paradigms,"" these appear to be integration paradigms for tools rather than programming paradigms. This is a significant mismatch with the multiple paradigms criterion.",maybe,yes,no,no
Operations on metamodels in the context of a UML-based metamodeling architecture,2003,"Seventh International Database Engineering and Applications Symposium, 2003. Proceedings.",https://doi.org/10.1109/IDEAS.2003.1214962,Exclude,EC1,"The abstract describes a metamodeling architecture with potential relevance to paradigmatic compatibility, but lacks clear evidence of empirical validation or systematic testing of paradigm integration. While the study proposes a measure of semantical distance…",maybe,yes,maybe,maybe
Toward Integrating Qualitative and Quantitative Methods: An Introduction,1992,Health Education Quarterly,https://doi.org/10.1177/109019819201900101,Exclude,EC2,"The paper appears to be an introductory or overview article discussing the combination of qualitative and quantitative research methods, rather than primary research on paradigmatic compatibility or a systematic review of software measurement.",maybe,yes,no,no
Model Integration Using Metamodels,1998,International Conference on Advances in System Simulation,https://doi.org/10.1177/003754979807000306,Exclude,EC1,"The abstract demonstrates strong alignment with paradigmatic compatibility and multiple programming paradigms, addressing model integration across different computing approaches. However, significant uncertainties exist regarding validation methods, empirical …",maybe,yes,yes,yes
HCI reality - an 'Unreal Tournament'?,2007,Int. J. Hum. Comput. Stud.,https://doi.org/10.1016/j.ijhcs.2007.03.003,Exclude,EC1,"The study explores paradigmatic compatibility between professional groups in HCI, utilizing empirical research methods and quantitative analysis. While demonstrating rigorous methodology and addressing multiple paradigms, the research focuses on professional r…",maybe,yes,yes,maybe
WYSIWYT testing in the spreadsheet paradigm: an empirical evaluation,2000,Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium,https://doi.org/10.1145/337180.337206,Exclude,EC1,"The study presents empirical research on testing methodology in spreadsheet programming, demonstrating strong quantitative validation and paradigm integration through systematic measurement of testing effectiveness. While the research includes robust empirical…",maybe,yes,maybe,maybe
Code Quality Metric of Searching Algorithms for Multi-Paradigm Languages,2019,International Journal of Scientific Research and Management,https://doi.org/10.18535/IJSRM/V7I2.EC03,Exclude,EC1,"The study addresses multiple programming paradigms through a comprehensive analysis of code comprehensibility, proposing new metrics and empirically validating findings across procedural, object-oriented, and multi-paradigm contexts. Quantitative components an…",maybe,yes,yes,yes
COMPOSABLE SIMULATION MODELS AND THEIR FORMAL VALIDATION,2010,-,-,Exclude,EC2,"The paper presents primary research on component-based modeling and simulation, but does not specifically focus on paradigmatic compatibility. While it discusses component integration, it is more focused on simulation modeling than programming paradigms.",maybe,yes,maybe,maybe
Towards an Experimental Framework for Measuring Usability of Model-Driven Tools,2011,IFIP TC13 International Conference on Human-Computer Interaction,https://doi.org/10.1007/978-3-642-23768-3_102,Exclude,EC1,"While MDD is a distinct paradigm, the abstract doesn't indicate comparison or integration with other paradigms. The focus appears to be on MDD tools in isolation.",maybe,yes,no,no
Integrating Formal Methods by Unifying Abstractions,2004,International Conference on Integrated Formal Methods,https://doi.org/10.1007/978-3-540-24756-2_24,Exclude,EC1,"The paper does address multiple paradigms, but these are formal methods paradigms rather than programming paradigms specifically.",maybe,yes,maybe,no
A novel discontinuity metric for unit selection text-to-speech synthesis,2004,Speech Synthesis Workshop,-,Exclude,EC2,"The paper is primary research, but it focuses on text-to-speech synthesis rather than paradigmatic compatibility or software measurement.",maybe,yes,no,no
Paradigm Issues in Critical Systems Thinking and Their Interpretation in Three Developmental Systemic Interventions,2006,-,-,Exclude,EC1,"The paper does address multiple paradigms and their integration, but these are systems thinking paradigms rather than programming paradigms.",maybe,yes,maybe,no
