Title,Authors,DOI,DOI link,Venue,Citation count,Year,Full-Text Accessibility,"Reasoning for ""Full-Text Accessibility""",Publication Language,"Reasoning for ""Publication Language""",Empirical Evidence,"Reasoning for ""Empirical Evidence""",Multiple Paradigms,"Reasoning for ""Multiple Paradigms""",Paradigmatic Compatibility Focus,"Reasoning for ""Paradigmatic Compatibility Focus""",Quantitative Components,"Reasoning for ""Quantitative Components""",Study Type,"Reasoning for ""Study Type""",Validation Methods,"Reasoning for ""Validation Methods""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score,Reason code,Reason note,ReasonCode,ReasonNote
Paradigm Translations in Integrating Manufacturing Information Using a Meta-model : The TSER Approach,"C. Hsu, Yicheng Tao, M'hamed Bouziane, G. Babin",-,-,-,13,1993,maybe,"The paper appears to be from an academic source, suggesting likely accessibility, but this cannot be determined from the abstract alone.",yes,"The paper is written in English, which meets the criterion for publication language.",maybe,The abstract does not clearly indicate whether empirical data or systematic observations are included.,yes,"The paper explicitly addresses multiple paradigms (Entity-Relationship, Relational, and Object-Oriented), meeting this criterion.",yes,"The paper directly addresses paradigmatic compatibility by proposing a meta-model for integrating different paradigms (Entity-Relationship, Relational, and Object-Oriented).",maybe,"While the paper discusses models and integration, it is unclear from the abstract whether it includes quantitative measurements or systematic observations.",yes,"The paper presents a framework for model integration and discusses a meta-model (TSER) for paradigm integration, which aligns with the criterion of studying paradigmatic compatibility.",maybe,"The abstract does not explicitly mention validation methods or empirical testing, so there is significant uncertainty around this criterion.",Exclude,"A meta-model framework exploring paradigmatic integration across Entity-Relationship, Relational, and Object-Oriented models demonstrates strong potential for addressing multiple programming paradigms. While the study presents a conceptual approach to information integration, significant uncertainties remain regarding empirical validation, quantitative measurements, and systematic testing of the proposed meta-model.",3.5,EC1,"A meta-model framework exploring paradigmatic integration across Entity-Relationship, Relational, and Object-Oriented models demonstrates strong potential for addressing multiple programming paradigms. While the study presents a conceptual approach to informat…",EC1,"A meta-model framework exploring paradigmatic integration across Entity-Relationship, Relational, and Object-Oriented models demonstrates strong potential for addressing multiple programming paradigms. While the study presents a conceptual approach to informat…"
Model fragment comparison using natural language processing techniques,"Karagiannis Dimitris, BuchmannRobert Andrei",10.1007/978-3-642-54411-8_20,https://doi.org/10.1007/978-3-642-54411-8_20,-,3,2014,maybe,The abstract does not provide enough information to determine the full-text accessibility of the paper.,yes,"The paper is written in English, which meets the publication language criterion.",no,The abstract does not indicate whether empirical data or systematic observations are included.,yes,The paper explicitly addresses integration between two paradigms (computational linguistics and metamodelling).,maybe,"The paper does address paradigmatic compatibility between computational linguistics and metamodelling, but it's unclear if it proposes formal models or quantitative metrics.",no,The abstract does not mention any quantitative components or measurements.,maybe,"The paper appears to be about integrating concepts between computational linguistics and metamodelling, which could be considered paradigm integration. However, it's not clear if this is primary research or a systematic review.",no,"The abstract does not mention any validation methods, empirical testing, or systematic evaluation.",Exclude,"The abstract addresses multiple programming paradigms and integration between computational linguistics and metamodelling, meeting some screening criteria. However, significant methodological uncertainties exist regarding validation methods, empirical evidence, and quantitative components, which create substantial gaps in meeting the comprehensive screening requirements.",3.1,EC6,The abstract does not mention any quantitative components or measurements.,EC6,The abstract does not mention any quantitative components or measurements.
Modeling the Semantics of Geographic Categories through Conceptual Integration,W. Kuhn,10.1007/3-540-45799-2_8,https://doi.org/10.1007/3-540-45799-2_8,International Conference Geographic Information Science,87,2002,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the publication language criterion.",no,The abstract doesn't clearly indicate empirical data collection or systematic observations about programming paradigm integration.,no,"While the paper discusses integration, it's not about programming paradigms. The ""houseboats and boathouses"" example is about conceptual integration, not programming paradigms.",no,"While the paper discusses integration, it's focused on conceptual integration in cognitive science and geographic categories, not programming paradigms. It does not meet this criterion.",maybe,"The paper includes formalization in Haskell, suggesting some quantitative components, but these appear to be theoretical rather than empirical measurements.",no,"The paper appears to be primary research, but it focuses on conceptual integration in cognitive science and geographic categories, not paradigmatic compatibility in programming. It does not meet this criterion.",maybe,"The abstract mentions ""formalization in Haskell"" as a test, suggesting some validation, but it's unclear if this constitutes systematic evaluation.",Exclude,"The abstract describes a cognitive science study on conceptual integration in geographic categories, which fundamentally diverges from the systematic review's focus on programming paradigm compatibility. Despite using Haskell for formalization, the paper lacks empirical evidence, quantitative measurements, or substantive exploration of programming paradigms, rendering it unsuitable for the intended review.",1.4,EC2,"The paper appears to be primary research, but it focuses on conceptual integration in cognitive science and geographic categories, not paradigmatic compatibility in programming. It does not meet this criterion.",EC2,"The paper appears to be primary research, but it focuses on conceptual integration in cognitive science and geographic categories, not paradigmatic compatibility in programming. It does not meet this criterion."
System models effect on test integration cost,H. Pritchett,10.1109/AUTEST.2011.6058775,https://doi.org/10.1109/AUTEST.2011.6058775,2011 IEEE AUTOTESTCON,0,2011,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,"While the paper discusses integration challenges, the abstract does not clearly indicate whether empirical data or systematic observations were collected. It appears more theoretical in nature.",maybe,"The paper addresses different test platforms and their integration, which could be considered different paradigms, but it's not explicitly focused on programming paradigms as typically understood in software engineering.",yes,"The paper does address paradigmatic compatibility, specifically focusing on test program integration and platform independence. It discusses system models and paradigms affecting integration.",maybe,"The abstract mentions ""parametric values"" and ""test limits"" but does not clearly indicate whether the study includes quantitative analysis or measurements. It seems more focused on conceptual discussion.",maybe,"The paper appears to be primary research investigating paradigmatic compatibility, specifically focusing on test program integration and platform independence. However, it's not entirely clear if this is a systematic study or more of a theoretical discussion.",no,"The abstract does not explicitly mention validation methods or empirical testing. While it discusses integration efforts and challenges, it does not clearly indicate how these were systematically evaluated.",Exclude,"The abstract addresses test program integration and platform independence, demonstrating partial alignment with paradigmatic compatibility criteria. While the study explores system models and integration challenges, it lacks clear empirical validation, quantitative measurements, and explicit focus on programming paradigms. The theoretical nature of the discussion limits its direct applicability to the specified screening requirements.",3.2,EC6,"The abstract mentions ""parametric values"" and ""test limits"" but does not clearly indicate whether the study includes quantitative analysis or measurements. It seems more focused on conceptual discussion.",EC1,"The abstract addresses test program integration and platform independence, demonstrating partial alignment with paradigmatic compatibility criteria. While the study explores system models and integration challenges, it lacks clear empirical validation, quantit…"
Integration of Semantic Tools into Document Editors,"J. Welsh, Yun Yang",-,-,Softw. Concepts Tools,18,1994,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The abstract indicates there is evaluation of the prototype, suggesting some empirical evidence, though the nature and extent are not clear.",no,"While the paper discusses ""three possible paradigms,"" these appear to be integration paradigms for tools rather than programming paradigms. This is a significant mismatch with the multiple paradigms criterion.",no,"The paper discusses integration paradigms, but focuses on tool integration rather than programming paradigms specifically. This is a significant mismatch with the paradigmatic compatibility focus criterion.",maybe,"The abstract mentions ""key requirements"" and evaluation, but does not explicitly indicate quantitative measurements.",maybe,"The paper appears to be primary research investigating tool integration paradigms, which is related to but not exactly the same as paradigmatic compatibility. It is somewhat aligned but not perfectly matched with the study type criterion.",maybe,"The abstract mentions ""prototype implementation and evaluation,"" suggesting some form of validation, though the details are limited.",Exclude,"The abstract describes a study on tool integration paradigms, which fundamentally differs from the screening criteria's focus on programming paradigm compatibility. While the paper includes some relevant elements like evaluation and multiple approaches, its core focus on document preparation and verification tools represents a significant mismatch with the intended research scope. Consequently, the paper does not align sufficiently with the established screening criteria.",2.7,EC1,"While the paper discusses ""three possible paradigms,"" these appear to be integration paradigms for tools rather than programming paradigms. This is a significant mismatch with the multiple paradigms criterion.",EC1,"While the paper discusses ""three possible paradigms,"" these appear to be integration paradigms for tools rather than programming paradigms. This is a significant mismatch with the multiple paradigms criterion."
Operations on metamodels in the context of a UML-based metamodeling architecture,"M. Terrasse, George Becker, M. Savonnet, É. Leclercq",10.1109/IDEAS.2003.1214962,https://doi.org/10.1109/IDEAS.2003.1214962,"Seventh International Database Engineering and Applications Symposium, 2003. Proceedings.",0,2003,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,The abstract does not mention any empirical data or systematic observations about integration challenges.,maybe,"The paper mentions ""modeling paradigms"" and discusses integration between different metamodels, suggesting it addresses multiple paradigms, though this is not explicitly detailed.",maybe,"The paper discusses ""modeling paradigms"" and proposes a measure of ""semantical distance between metamodels,"" which relates to paradigmatic compatibility, but the focus seems to be more on metamodeling architecture than direct paradigm integration.",maybe,"The paper mentions a ""measure of semantical distance,"" suggesting some quantitative components, but the extent of these is unclear.",maybe,"The paper appears to be primary research proposing a metamodeling architecture and formal operations, including integration of metamodels, which is partially relevant to the study type criterion.",no,"The abstract does not explicitly mention any validation methods or empirical testing, so it is unclear if the study includes such components.",Exclude,"The abstract describes a metamodeling architecture with potential relevance to paradigmatic compatibility, but lacks clear evidence of empirical validation or systematic testing of paradigm integration. While the study proposes a measure of semantical distance between metamodels and addresses multiple modeling paradigms, it appears more theoretical than empirically grounded, with limited demonstration of quantitative analysis or integration challenges.",3.2,EC6,"The paper mentions a ""measure of semantical distance,"" suggesting some quantitative components, but the extent of these is unclear.",EC1,"The abstract describes a metamodeling architecture with potential relevance to paradigmatic compatibility, but lacks clear evidence of empirical validation or systematic testing of paradigm integration. While the study proposes a measure of semantical distance…"
Toward Integrating Qualitative and Quantitative Methods: An Introduction,"A. Steckler, K. McLeroy, R. Goodman, S. T. Bird, Laurie Mccormick",10.1177/109019819201900101,https://doi.org/10.1177/109019819201900101,Health Education Quarterly,749,1992,maybe,"The paper appears to be an academic article that would likely be accessible through standard channels, though this cannot be definitively determined from the abstract alone.",yes,"The paper is written in English, which meets the publication language criterion.",no,"The abstract does not indicate that the paper presents empirical data about paradigm integration, suggesting that it appears to be a theoretical discussion of methodological strengths and weaknesses rather than including empirical evidence.",no,"The paper does address multiple paradigms (qualitative and quantitative), but these are research paradigms rather than programming paradigms, which is the focus of the systematic review.",no,"While the paper discusses combining different paradigms (qualitative and quantitative), it appears to be in the context of research methodology rather than programming paradigms, which is a significant mismatch with the intended focus.",no,"While the paper discusses quantitative methods, it does not appear to present specific quantitative measurements or systematic observations about paradigm integration.",no,"The paper appears to be an introductory or overview article discussing the combination of qualitative and quantitative research methods, rather than primary research on paradigmatic compatibility or a systematic review of software measurement.",no,"The abstract does not mention any specific validation methods or empirical testing, indicating that the paper appears to be a theoretical discussion of methodological approaches rather than including validation methods or empirical testing.",Exclude,"The abstract discusses research methodology paradigms rather than programming paradigms, fundamentally misaligning with the systematic review's core screening criteria. Lacking empirical evidence, validation methods, and specific focus on programming paradigm integration, the paper fails to meet the essential requirements for inclusion. The theoretical discussion of qualitative and quantitative research methods does not address the systematic review's targeted research domain.",1.4,EC2,"The paper appears to be an introductory or overview article discussing the combination of qualitative and quantitative research methods, rather than primary research on paradigmatic compatibility or a systematic review of software measurement.",EC2,"The paper appears to be an introductory or overview article discussing the combination of qualitative and quantitative research methods, rather than primary research on paradigmatic compatibility or a systematic review of software measurement."
Model Integration Using Metamodels,T. Maxwell,10.1177/003754979807000306,https://doi.org/10.1177/003754979807000306,International Conference on Advances in System Simulation,0,1998,maybe,The full-text accessibility cannot be determined from the abstract alone.,yes,"The abstract appears to be written in English, meeting the publication language criterion.",maybe,The abstract doesn't clearly indicate whether empirical data or systematic observations are included.,yes,"The abstract clearly addresses multiple paradigms, mentioning procedural models, distributed object formalisms, and different computing paradigms.",yes,"The abstract directly addresses paradigmatic compatibility, discussing the integration of procedural models and different computing paradigms (serial/distributed message passing/distributed shared memory).",maybe,The abstract doesn't explicitly mention quantitative components or measurements.,maybe,"The abstract discusses model integration and programming paradigms, suggesting it may be primary research investigating paradigmatic compatibility. However, the abstract is incomplete and doesn't clearly state the study type.",no,The abstract doesn't mention any validation methods or empirical testing.,Exclude,"The abstract demonstrates strong alignment with paradigmatic compatibility and multiple programming paradigms, addressing model integration across different computing approaches. However, significant uncertainties exist regarding validation methods, empirical evidence, and quantitative components due to the abstract's incomplete nature. The text suggests potential relevance to the screening criteria but lacks definitive confirmation of key methodological requirements.",3.5,EC6,The abstract doesn't explicitly mention quantitative components or measurements.,EC1,"The abstract demonstrates strong alignment with paradigmatic compatibility and multiple programming paradigms, addressing model integration across different computing approaches. However, significant uncertainties exist regarding validation methods, empirical …"
HCI reality - an 'Unreal Tournament'?,"C. Bartneck, G.W.M. Rauterberg",10.1016/j.ijhcs.2007.03.003,https://doi.org/10.1016/j.ijhcs.2007.03.003,Int. J. Hum. Comput. Stud.,43,2007,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",yes,The study includes empirical data through questionnaire responses and systematic observations about integration challenges between different professional groups.,yes,"The study addresses interactions between three different paradigms (designers, engineers, scientists), but these are professional paradigms rather than programming paradigms.",maybe,"The study proposes and evaluates a formal paradigm model, but focuses on professional paradigms rather than programming paradigms, which is a significant deviation from the intended focus.",yes,The study includes quantitative components through questionnaire data and analysis of educational backgrounds as predictors.,maybe,"The paper presents primary research investigating paradigmatic compatibility between different professional groups (designers, engineers, scientists) in HCI, which is partially relevant to the study type criterion, though it does not focus on programming paradigms.",yes,The study includes empirical validation through an online questionnaire and attempts to validate their paradigm model using the 'Attitude About Reality' scale.,Exclude,"The study explores paradigmatic compatibility between professional groups in HCI, utilizing empirical research methods and quantitative analysis. While demonstrating rigorous methodology and addressing multiple paradigms, the research focuses on professional rather than programming paradigms, which significantly deviates from the intended screening criteria. Consequently, the paper's alignment with the systematic review's objectives is limited despite its strong methodological approach.",2.7,EC1,"The study explores paradigmatic compatibility between professional groups in HCI, utilizing empirical research methods and quantitative analysis. While demonstrating rigorous methodology and addressing multiple paradigms, the research focuses on professional r…",EC1,"The study explores paradigmatic compatibility between professional groups in HCI, utilizing empirical research methods and quantitative analysis. While demonstrating rigorous methodology and addressing multiple paradigms, the research focuses on professional r…"
WYSIWYT testing in the spreadsheet paradigm: an empirical evaluation,"Karen J. Rothermel, C. Cook, M. Burnett, J. Schonfeld, T. Green, Gregg Rothermel",10.1145/337180.337206,https://doi.org/10.1145/337180.337206,Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium,146,2000,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but the reference to previous work suggests it is a published paper.",yes,"The paper is written in English, meeting the publication language criterion.",yes,"The study explicitly mentions presenting empirical data about the methodology's effectiveness, including measurements of testing effectiveness and efficiency.",maybe,"The paper discusses integration between formal testing concepts and spreadsheet programming, but it is not clearly about multiple programming paradigms in the traditional sense (e.g., object-oriented vs. functional).",maybe,"The paper partially meets this criterion, as it focuses on integrating formal testing concepts into the spreadsheet paradigm, which represents a form of paradigmatic integration, though not between multiple programming paradigms in the traditional sense.",yes,"The study includes quantitative measurements of testing effectiveness and efficiency, as well as measurements of overconfidence.",maybe,"The study is primary research investigating testing methodology in the spreadsheet paradigm, which addresses integration of formal testing concepts into an informal paradigm, though it is not explicitly about paradigmatic compatibility.",yes,"The study includes empirical testing and evaluation of the methodology's effectiveness, with specific mention of measuring testing effectiveness and efficiency.",Exclude,"The study presents empirical research on testing methodology in spreadsheet programming, demonstrating strong quantitative validation and paradigm integration through systematic measurement of testing effectiveness. While the research includes robust empirical evidence and quantitative components, it only partially addresses multiple programming paradigms, focusing more on testing methodology integration within a single paradigm.",3.5,EC1,"The study presents empirical research on testing methodology in spreadsheet programming, demonstrating strong quantitative validation and paradigm integration through systematic measurement of testing effectiveness. While the research includes robust empirical…",EC1,"The study presents empirical research on testing methodology in spreadsheet programming, demonstrating strong quantitative validation and paradigm integration through systematic measurement of testing effectiveness. While the research includes robust empirical…"
